Title,Price,Location,Details
Yenibosna Zafer Mah Kiralık Teras Kat Daire Mevlana Cami,25500,Bahçelievler - Zafer Mahallesi,Daire | 2+1 | Çatı katı | 60 m²
Bahçelievler Hürriyet Mahallesi'nde Cadde Üzerinde 3+1 120 M2,27000,Bahçelievler - Hürriyet Mahallesi,Daire | 3+1 | 5. Kat | 130 m²
Cadde Üstü / 4+1 150 M² / Eşyalı Daire / Şahane Geniş Kullanışlı,40000,Bahçelievler - Soğanlı Mahallesi,Daire | 4+1 | 6. Kat | 150 m²
Şirinevler'de Sahibinden Kiralık 2+1 Daire - Açıklama Okuyun Lütfen,23000,Bahçelievler - Şirinevler Mahallesi,Daire | 2+1 | 2. Kat | 110 m²
Yayla Uefa Anıtı Yanında 3+1 110m2 4. Ara Kat,30000,Bahçelievler - Siyavuşpaşa Mahallesi,Daire | 3+1 | 4. Kat | 110 m²
Bahçelievler Siyavuşpaşa Sıfır Binada 2+1 85 M2 Yüksek Giriş,40000,Bahçelievler - Siyavuşpaşa Mahallesi,Daire | 2+1 | Bahçe katı | 85 m²
Zafer Mah 2+1 Muhammediye Camii Yakını Kiralık Daire,26000,Bahçelievler - Zafer Mahallesi,Daire | 2+1 | 2. Kat | 100 m²
Çeşit Emlak Mahmutbey Cad Yakını 2009 Yapımı 1+1 65m2 Kiralık,25000,Bahçelievler - Şirinevler Mahallesi,Daire | 1+1 | Yüksek giriş | 65 m²
Kocasinan Merkez Mah Kiralık 2+1 Daire,22000,Bahçelievler - Kocasinan Merkez Mahallesi,Daire | 2+1 | Yüksek giriş | 80 m²
"Sevcan Remax Nef Bahçelievler 87m2 Özel Teras&bahçeli Mimari Tasarımlı Bahçekatı 4,5+1",140000,Bahçelievler - Bahçelievler Mahallesi,Daire | 4.5+1 | Bahçe katı | 314 m²
Bahçelievler Yenibosna Zafer Mah.kiralık 2+1 Daire,32500,Bahçelievler - Zafer Mahallesi,Daire | 2+1 | 2. Kat | 95 m²
Başokur'dan İstwest Rezidans Eşyalı Kiralık 1+0 Stüdyo Daire,35000,Bahçelievler - Yenibosna Merkez Mahallesi,Daire | 1 Oda | 11. Kat | 44 m²
Metrobüse Yakın 3+2 Dubleks Sıfır Kiralık Daire,67000,Bahçelievler - Zafer Mahallesi,Daire | 3+2 | 5. Kat | 150 m²
Başokur'dan Bahçelievler Yenibosna Metro Metrobüse Yakın Eşyalı,29000,Bahçelievler - Fevzi Çakmak Mahallesi,Daire | 1+1 | Yüksek giriş | 55 m²
Yenilenmiş Geniş Ve Ferah 2+1 Şömineli Ankastreli Balkonlu Kapalı Otoparklı Kiralık Daire,52000,Bahçelievler - Kocasinan Merkez Mahallesi,Daire | 2+1 | 4. Kat | 120 m²
Bahçelievler Mh. 3+1 Yerden Ist Kapalı Otopark Sıfır Merkezi,75000,Bahçelievler - Bahçelievler Mahallesi,Daire | 3+1 | 1. Kat | 120 m²
Yenibosna Çobançeşme Mahallesi Kiralık 2+1 Bahçe Katı Daire,25000,Bahçelievler - Çobançeşme Mahallesi,Daire | 2+1 | Bahçe katı | 80 m²
Serkan Gayrimenkulden Bahçelievler Hürriyette 5 Yıllık Bina Yenievli Çifte Aileye Kiralık,35000,Bahçelievler - Hürriyet Mahallesi,Daire | 2+1 | 1. Kat | 75 m²
Aksa Emlaktan Eşyalı,20000,Bahçelievler - Çobançeşme Mahallesi,Daire | 1+1 | Bahçe katı | 60 m²
Kiralık 2+1 Çatı Katı Sıfır Daire,27000,Bahçelievler - Hürriyet Mahallesi,Daire | 2+1 | Çatı katı | 60 m²
Home Vizyon Bahçelievlerde Aile Sitesinde Kiralık 2+1 Daire,44000,Bahçelievler - Yenibosna Merkez Mahallesi,Daire | 2+1 | 1. Kat | 100 m²
Memura Kiralik Daire Bahçelievler Devlet Hastanesine Yakındır,25000,Bahçelievler - Yenibosna Merkez Mahallesi,Daire | 2+1 | 3. Kat | 80 m²
Bahçelievler Yenibosna Beyaz Residence 3+1 155 M2 Kiralık,65000,Bahçelievler - Yenibosna Merkez Mahallesi,Daire | 3+1 | 3. Kat | 175 m²
Beyaz Rezidans Kiralık 1+1 Daire,36000,Bahçelievler - Yenibosna Merkez Mahallesi,Daire | 1+1 | 3. Kat | 76 m²
Goldhouse Dan Kiralık Pırlanta Evlerin De 3+1 Geniş Daire,58000,Bahçelievler - Kocasinan Merkez Mahallesi,Daire | 3+1 | 2. Kat | 140 m²
Efka Gayrimenkulden Yenibosnada Kiralık 130 M2 3+1 Eşyalı Daire,40000,Bahçelievler - Fevzi Çakmak Mahallesi,Daire | 3+1 | 4. Kat | 130 m²
E5 Metro Metrobüz Yakını Sıfır 1+1 Daire,35000,Bahçelievler - Fevzi Çakmak Mahallesi,Daire | 1+1 | Yüksek giriş | 55 m²
E5 Metro Metrobüse Yüme Mesafesinde Sıfır Daire,35000,Bahçelievler - Çobançeşme Mahallesi,Daire | 1+1 | Yüksek giriş | 55 m²
E5 Metro Yakini 3.kat Memura Kiralik Daire,25000,Bahçelievler - Hürriyet Mahallesi,Daire | 2+1 | 3. Kat | 80 m²
Sevcan Remax Nef Bahçelievler Komple Lüksyenieşyalı 90m2net 2+1,90000,Bahçelievler - Bahçelievler Mahallesi,Daire | 2+1 | 9. Kat | 149 m²
