District,Title,Price,Location,Details
bahcelievler,Yenibosna Zafer Mah Kiralık Teras Kat Daire Mevlana Cami,25500,Bahçelievler - Zafer Mahallesi,Daire | 2+1 | Çatı katı | 60 m²
bahcelievler,Bahçelievler Hürriyet Mahallesi'nde Cadde Üzerinde 3+1 120 M2,27000,Bahçelievler - Hürriyet Mahallesi,Daire | 3+1 | 5. Kat | 130 m²
bahcelievler,Yenibosna'da Sahibinden Kiralık 3+1 Daire ☑️ Detaylar Açıklama'da,28000,Bahçelievler - Yenibosna Merkez Mahallesi,Daire | 3+1 | 2. Kat | 125 m²
bahcelievler,Family' Den Mahmutbey Caddesinde 2+1 27 Yıllık Kiralık Boş Daire,30000,Bahçelievler - Hürriyet Mahallesi,Daire | 2+1 | 3. Kat | 90 m²
bahcelievler,Şirinevler'de Sahibinden Kiralık 2+1 Daire - Açıklama Okuyun Lütfen,23000,Bahçelievler - Şirinevler Mahallesi,Daire | 2+1 | 2. Kat | 110 m²
bahcelievler,Hürriyet Mahallesinde 2005 Yapım Eşyalı 2+1 Kiralık Daire,31000,Bahçelievler - Hürriyet Mahallesi,Daire | 2+1 | 5. Kat | 85 m²
bahcelievler,Memura Kiralik Daire Bahçelievler Devlet Hastanesine Yakındır,25000,Bahçelievler - Yenibosna Merkez Mahallesi,Daire | 2+1 | 3. Kat | 80 m²
bahcelievler,"Next House'dan, Kocasinan Merkez, Otoparklı, 3+1 Ara Kat Kiralık",59000,Bahçelievler - Kocasinan Merkez Mahallesi,Daire | 3+1 | 3. Kat | 135 m²
bahcelievler,Şirinevlerde 2+1 Full Eşyalı Yeni Binada Bahçekatı Kiralık Daire,35000,Bahçelievler - Şirinevler Mahallesi,Daire | 2+1 | Bahçe katı | 65 m²
bahcelievler,Bahçelievler Merkezi Konumda Asansörlü Temiz 2+1 Kiralık Daire,37000,Bahçelievler - Siyavuşpaşa Mahallesi,Daire | 2+1 | 1. Kat | 90 m²
bahcelievler,Yayla Uefa Anıtı Yanında 3+1 110m2 4. Ara Kat,30000,Bahçelievler - Siyavuşpaşa Mahallesi,Daire | 3+1 | 4. Kat | 110 m²
